	Cleavage	Brown	Mid	Late/Larvae	Metam	Adult
Aqu2.1.14598_001	0.163468755	0.937701974	0.337903271	0.317796986	0.991450441	0.343722931
Aqu2.1.14599_001	4.661891778	5.82834935	4.231806331	6.741139901	6.306092743	7.475434519
Aqu2.1.14600_001	0.386199842	0.408966301	0.194966821	0.745593237	0.902697556	1.031489676
Aqu2.1.14601_001	0	0	0	0	0.049906804	0.103279368
Aqu2.1.14602_001	0	0.202525411	0	0.073612995	0.041207757	0.099235884
Aqu2.1.14603_001	3.530034401	0.233244965	0.039870067	0.163925518	0.37935417	3.879628829
Aqu2.1.14604_001	1.497166067	0.141631625	0.019935034	0.039584226	0.143765661	2.157713215
Aqu2.1.14605_001	7.314609437	1.477859446	0.293992088	0.582181079	0.72166389	8.677500737
Aqu2.1.14606_001	4.418487451	0.414337871	0.144309061	0.217132585	0.10835125	5.617935539
Aqu2.1.14607_001	1.084385485	0.249954883	0.306324951	0.435683415	1.40966171	2.649935718
Aqu2.1.14608_001	0	0.047210542	0	0.026455466	0.056949304	0
Aqu2.1.14609_001	0	0	0	0	0.039267122	0
Aqu2.1.14610_001	0.524996339	0.18087788	0.10917525	0.094017026	0.255289146	0.520614918
Aqu2.1.14611_001	0.433343378	0.077748322	0.198550215	0.339172314	0.483975606	1.082667359
Aqu2.1.14612_001	14.16438159	7.712778828	5.898786121	5.133996751	7.035867114	4.018849161
Aqu2.1.14613_001	0.50970226	0.077748322	0.132271114	0.040962002	0.065980382	0
Aqu2.1.14614_001	0.424554716	0.124958863	0.020657677	0.049652991	0.063071517	0
Aqu2.1.14618_001	0.301052298	0.840821197	0.229132054	0.036426696	0.323272932	1.157687978
Aqu2.1.14619_001	0	0	0.020657677	0	0	0
Aqu2.1.14620_001	4.242660898	10.67276263	1.896680351	2.536811584	5.414031845	3.733059346
Aqu2.1.14621_001	18.08600444	31.91207578	11.25369199	8.588273867	24.53218736	21.49611602
Aqu2.1.14622_001	0	0.18087788	0	0.039584226	0.02586124	0
Aqu2.1.14623_001	2.848653168	0.816035164	0.157109666	0.341824178	0.851619606	0.870112051
Aqu2.1.14624_001	36.10870916	64.22033275	18.05424011	11.52879865	27.63932475	22.05545102
Aqu2.1.14625_001	5.735477249	3.653240471	1.634496681	2.476907549	3.346294649	3.672121219
Aqu2.1.14628_001	0	0	0.168932908	0	0	0
Aqu2.1.14629_001	1.319616187	0	0.075864136	0	0.016125004	0.304527576
Aqu2.1.14630_001	0	0	0.075864136	0	0	0
Aqu2.1.14631_001	0	0	0.11936912	0	0.177031817	1.20018567
Aqu2.1.14632_001	0.054489585	0	0.028816973	0	0.045693372	0.531874243
Aqu2.1.14633_001	0.479044301	0.077748322	0.059805101	0	0.134437616	0.394406526
Aqu2.1.14634_001	16.40923953	12.56255154	3.305075184	9.070601498	8.797318195	12.71466554
Aqu2.1.14635_001	3.39911087	0.374694816	0.450494273	0.31168671	0.499301503	0.879434986
Aqu2.1.14636_001	0	0	0.040311953	0	0.149308295	0
Aqu2.1.14637_001	0	0	0	0.023326168	0.051861784	0
Aqu2.1.14638_001	5.475008031	14.93176365	46.29901184	14.21981003	5.418357083	10.36368231
Aqu2.1.14639_001	1.970224667	0.655005705	2.085337234	0.876358652	0.713228038	42.37239544
Aqu2.1.14641_001	0	0	0	0	0.029015098	0
Aqu2.1.14642_001	0	0	0	0.083584421	0.145321304	0
Aqu2.1.14643_001	0	0	0	0	0.041207757	0
Aqu2.1.14645_001	0.355541883	0	0.047960781	0.032080047	0	0
Aqu2.1.14646_001	0	0	0.075864136	0	0	0
Aqu2.1.14647_001	1.51898431	1.50605233	0.217698432	0.389371327	0.192293714	0.058541648
Aqu2.1.14648_001	0.301052298	0	0	0	0	0.846473379
Aqu2.1.14649_001	0.10897917	0	0.345712163	0.034007643	0.375338521	0.207754095
Aqu2.1.14650_001	0	0	0.020657677	0	0	0
Aqu2.1.14651_001	0.10897917	0	0	0	0	0
Aqu2.1.14652_001	0	0	0.031416155	0.109782529	0.029015098	0
Aqu2.1.14653_001	0	0	0	0.027861474	0.050674256	0.058541648
